image,title,description,url
images/archive14_1.jpg,一年間で20以上の企画／活動を実施,アプリ開発やスイーツ商品企画など、様々。地元企業・団体と連携して1年間で20以上の企画や活動を実現!,https://fukui.keizai.biz/headline/29/
images/archive14_2.jpg,60件以上のメディア掲載,JK課の活動に関する新聞・雑誌・テレビ等メディア掲載実績は、1年間で60件以上に!,https://www.ntv.co.jp/document/backnumber/articles/1894w02bxzdfts1pqbow.html
images/archive14_3.jpg,JK課の活動を生かして、OG達が活躍中！,JK課卒業生は大学の地域連携ゼミに入ったり、市の市民協働会議に参加するなど、経験を活かして活動中!,https://www.sabae-sdgs.jp/action/91/
images/archive14_4.jpg,活動資金はクラウドファンディングで調達！,卒業イベントや次年度の活動に必要な資金を、自治体のプロジェクトとしてクラウドファンディングで調達!,https://camp-fire.jp/projects/view/289625
